country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sierra Leone,480,478,476,481,481,459,463,464,457,438,400,383,351,339,64.9,46.9,51.9,36,57.1,122,75.4,84.8,121,44.9,49.4,44.2,18.5
Singapore,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovak Republic,0.01,0.06,0.11,0.13,0.01,0,0,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,51.2,50.1,49,47.8,46.3,45.9,44.8,43.4,10.2,1.55,1.39,2.37,7.12,27.7,52.3,52.7,53.9,30.7,34.3,35.2,21.2,23.9,31.9,17.9,19.5,5.63,4.6
Somalia,5470,5450,5420,5400,5330,5170,5010,4830,4640,4210,3820,3630,3630,3650,3470,3250,2850,1870,929,780,493,530,398,357,390,500,411
South Africa,2740,2490,2250,2090,1080,1100,1180,846,285,291,435,505,1010,1720,1790,1220,848,719,380,360,283,56.3,46.9,67,54.6,101,199
South Korea,57.9,51.7,66.5,78.4,64.7,0.53,0.45,0.01,0.02,0.02,136,89.9,0.23,0.11,0.03,0.02,0.06,0.41,0,0.03,0.2,0.07,0,0.17,0.66,0.01,0.01
South Sudan,7550,7330,7060,6720,6280,5800,5170,4730,4350,4030,3330,3170,3240,3470,3030,895,388,217,219,506,1610,2440,3300,3490,3850,3070,3190
Spain,0.82,0.81,0.68,0.55,0.44,0.36,0.27,0.22,0.21,0.27,0.31,0.33,0.3,0.34,0.35,0.36,0.34,0.28,0.25,0.21,0.17,0.16,0.14,0.12,0.12,0.12,0.12
Sri Lanka,641,549,469,363,315,280,245,206,157,137,121,58.5,47,38.3,11.6,3.4,2.28,2.28,3.4,6.19,7.33,5.83,4.57,3.48,2.45,1.91,1.66
St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,10800,10200,9600,9030,8490,8680,8260,7990,7760,7590,6540,6340,6430,6520,5490,1590,617,291,229,302,780,1030,716,840,195,162,64.6
Suriname,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Switzerland,0.89,0.82,0.68,0.46,0.25,0.07,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
Syria,574,494,427,187,155,123,104,91.9,79.1,14.2,10,11.1,14.9,28.3,57.6,47.8,46.7,44.3,13.3,7.08,7.98,11.3,23.6,33.3,20.2,11.9,5.05
Tajikistan,76.3,13.6,26.4,54.8,5.82,0.62,0.48,41,31.8,1.77,1.81,0.35,8.31,18.8,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.05,0.01,0.01
Tanzania,7620,7200,6930,6840,6820,6990,7260,7420,7330,6900,6370,3780,1910,600,588,846,597,1000,1770,450,492,914,661,1120,1800,390,382
Thailand,2350,2080,1810,1570,1340,1070,863,714,605,147,120,98.1,72.9,56.6,45.4,37.8,33,29.2,26,24,22.2,19.5,16.1,13.6,11.5,9.67,5.18
Timor-Leste,316,300,281,263,246,245,232,215,199,181,152,124,94.6,81,35.8,29.5,26.6,15.6,16.7,24.6,16.3,19.8,4.96,4.5,6.54,11.3,4.31
Togo,957,981,1030,1080,1160,1200,1240,1260,1260,1210,1130,1060,201,128,130,65.3,103,218,272,180,235,122,124,170,74.8,71.8,53.5
Tonga,2.94,2.85,2.67,2.48,2.3,2.17,1.98,1.75,1.56,0.29,0.21,0.21,0.07,0.12,0.2,0.15,0.15,0.14,0.12,0.11,0.09,0.07,0.07,0.06,0.05,0.05,0.04
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Tunisia,155,129,104,86.1,71,56.5,46.5,37.1,29.3,5.58,3.77,3.73,2.82,3.86,6.56,6.58,4.13,4.37,4.35,4.28,4.64,5.25,4.48,3.77,3.13,2.55,2.13
Turkey,3920,3350,2840,2420,2080,1950,1640,599,551,471,404,360,309,269,82.8,49.1,16.2,13.1,16.9,27,33.6,41.7,36,30.2,26.9,24,22.9
Turkmenistan,9.04,6.32,2.72,4.39,4.31,3.7,3.53,2.74,2.15,0.87,0.31,0.47,0.39,0.27,0.1,0.07,0.09,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Uganda,7170,7050,7010,6960,6920,7180,7270,7390,6870,5880,5420,3410,2720,2780,589,512,712,526,947,2130,1560,1960,3200,1530,1620,2130,1000
Ukraine,0.89,0.84,0.93,0.94,0.77,0.53,0.35,0.52,0.4,0.22,0.27,0.31,0.17,0.1,0.06,0.05,0.06,0.04,0.04,0.04,0.05,0.07,0.09,0.07,0.05,0.06,0.07
United Arab Emirates,64.4,53.4,43.7,36.4,30.8,24,20.8,17.4,15.2,8.06,3.62,2.96,0.59,0.55,0.94,1.59,2.84,5.7,5.73,5.2,5.49,5.61,5.6,5.24,4.97,4.58,0.84
United Kingdom,1.9,1.68,1.46,1.22,0.95,0.72,0.62,0.58,0.49,0.46,0.45,0.41,0.37,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.27,0.27,0.26
United States,139,46.8,10.3,1.37,3.92,1.19,1.72,0.49,0.33,0.33,0.28,0.36,0.13,0.17,0.11,0.2,0.16,0.12,0.38,0.19,0.15,0.52,0.13,0.43,1.51,1.46,1.46
Uruguay,0.04,0.07,0.04,0.02,0.02,0.02,0.02,0.04,0.06,0.07,0.07,0.08,0.09,0.09,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03
Uzbekistan,23.3,15.9,11.3,8.89,7.2,6,4.57,3.46,2.87,1.79,0.72,0.9,1.18,1.38,1.29,1.44,1.39,1.49,1.64,1.8,1.96,2.31,2.03,2.01,2.22,1.79,1.64
Vanuatu,30.7,29.9,31.7,34.3,35.5,36.4,36.4,31.9,31.5,8.98,7.02,8.22,11.8,21.5,37.4,38.4,38.2,11,8.19,8.62,6.59,10.4,19.1,19.9,14.7,16.6,3.92
Venezuela,45,33.5,24.3,19.3,12.1,5.53,2.42,1.5,1.04,0.82,0.69,0.63,0.7,0.53,0.48,0.43,0.42,0.42,0.37,0.37,0.36,0.39,0.38,0.4,0.38,0.37,0.36
Vietnam,2780,2430,2100,1850,1610,1460,1310,1180,1040,950,830,718,639,341,140,104,44.9,56.8,64.3,67.2,62.5,32,31,35.1,35.8,7.82,6.96
Yemen,6300,6070,5870,5680,5490,5460,5180,4850,4340,4070,3720,3380,2080,1740,1540,1500,1630,395,217,232,165,284,617,208,203,65.5,48.6
Zambia,3110,2950,2970,3070,3230,3630,3740,3750,3580,3310,2610,2460,2480,2020,435,387,473,768,784,1370,1420,868,986,197,148,188,291
Zimbabwe,1960,1850,1780,1760,1790,1870,2060,2330,2580,801,738,985,1490,1470,2090,2120,2420,1930,2450,2630,1630,382,373,245,375,459,173
